"Period","x","y","Bearing","Distance_km"
"2010-2015",-86.4849895682575,40.0405622432952,309.420375521627,41.4389702735461
"2010-2015",-86.4876845141099,40.04029274871,309.165189946143,41.5743670284746
"2010-2015",-86.4874150195246,40.04029274871,309.187828183829,41.5586103888931
"2010-2015",-86.485528557428,40.0400232541248,309.319087156701,41.4266647620061
"2010-2015",-86.4852590628427,40.0400232541248,309.341897381746,41.4109539463071
"2010-2015",-86.485528557428,40.0397537595395,309.291239891542,41.4048365215997
"2010-2015",-86.4852590628427,40.0397537595395,309.314045659197,41.389117358139
"2010-2015",-85.7344471483756,40.0397537595395,57.0491832931594,46.8009728743056
"2010-2015",-85.7341776537904,40.0397537595395,57.0659921272821,46.8185340795173
"2010-2015",-85.7339081592052,40.0397537595395,57.0827857500582,46.8360999828044
"2010-2015",-86.4987337921045,40.0386757811986,308.089760215324,42.097660448513
"2010-2015",-86.4984642975193,40.0386757811986,308.111488507772,42.0815845151971
"2010-2015",-86.4998117704455,40.0384062866133,307.975359239976,42.1406907377183
"2010-2015",-86.4995422758602,40.0384062866133,307.996998439477,42.1245809831093
"2010-2015",-86.499272781275,40.0384062866133,308.018658582365,42.1084776149483
"2010-2015",-86.4990032866898,40.0384062866133,308.040339692857,42.0923806405671
"2010-2015",-86.4987337921045,40.0384062866133,308.0620417952,42.0762900673019
"2010-2015",-86.4984642975193,40.0384062866133,308.083764913656,42.0602059025013
"2010-2015",-85.7163910111648,40.0384062866133,58.270163706488,47.8938284341549
"2010-2015",-86.4998117704455,40.0381367920281,307.947640705349,42.1193637630361
"2010-2015",-86.4995422758602,40.0381367920281,307.969274663261,42.1032457846006
"2010-2015",-86.499272781275,40.0381367920281,307.990929575323,42.0871341896042
"2010-2015",-86.4990032866898,40.0381367920281,308.012605465794,42.0710289853828
"2010-2015",-86.4987337921045,40.0381367920281,308.034302358964,42.0549301792765
"2010-2015",-86.4984642975193,40.0381367920281,308.05602027914,42.0388377786375
"2010-2015",-86.4998117704455,40.0378672974429,307.919901240817,42.0980473148178
"2010-2015",-86.4995422758602,40.0378672974429,307.941529932901,42.081921108253
"2010-2015",-86.499272781275,40.0378672974429,307.963179589874,42.065801282107
"2010-2015",-86.4990032866898,40.0378672974429,307.984850236039,42.0496878437195
"2010-2015",-86.4987337921045,40.0378672974429,308.006541895728,42.0335808004351
"2010-2015",-86.4998117704455,40.0375978028576,307.892140835682,42.0767414090591
"2010-2015",-86.4995422758602,40.0375978028576,307.913764237656,42.0606069700678
"2010-2015",-86.499272781275,40.0375978028576,307.935408615234,42.0444789084636
"2010-2015",-86.4990032866898,40.0375978028576,307.957073992764,42.0283572315906
"2010-2015",-86.4987337921045,40.0375978028576,307.97876039462,42.0122419467974
"2010-2015",-86.4984642975193,40.0375978028576,308.000467845196,41.9961330614439
"2010-2015",-86.4998117704455,40.0373283082724,307.864359479274,42.0554460617862
"2010-2015",-86.4995422758602,40.0373283082724,307.885977566812,42.0393033860764
